L/R;Position Real;Position Virtual;Distance;Rotation Real;Rotation Virtual;Rotation Similarity;Rotation Real Normalized;Rotation Virtual Normalized
R;(0.988, 1.166, -13.320);(0.982, 1.178, -13.303);0,022;(299.998, 185.078, 170.337);(313.851, 202.314, 149.283);0,9868594;(0.766, 0.473, 0.435);(0.780, 0.503, 0.371)
R;(0.988, 1.166, -13.320);(0.982, 1.177, -13.303);0,022;(299.998, 185.078, 170.337);(314.066, 202.223, 149.409);0,9866765;(0.766, 0.473, 0.435);(0.781, 0.503, 0.371)
R;(0.988, 1.166, -13.320);(0.982, 1.177, -13.303);0,021;(300.057, 185.115, 170.291);(314.066, 202.223, 149.409);0,9867546;(0.766, 0.473, 0.435);(0.781, 0.503, 0.371)
R;(0.988, 1.166, -13.320);(0.982, 1.177, -13.303);0,021;(300.057, 185.115, 170.291);(314.018, 202.243, 149.381);0,9867955;(0.766, 0.473, 0.435);(0.781, 0.503, 0.371)
R;(0.988, 1.167, -13.320);(0.982, 1.177, -13.303);0,021;(300.186, 185.290, 170.126);(314.018, 202.243, 149.381);0,9870006;(0.766, 0.473, 0.434);(0.781, 0.503, 0.371)
R;(0.988, 1.167, -13.320);(0.982, 1.177, -13.303);0,021;(300.186, 185.290, 170.126);(313.894, 202.296, 149.308);0,9871046;(0.766, 0.473, 0.434);(0.780, 0.503, 0.371)
R;(0.988, 1.168, -13.321);(0.982, 1.177, -13.303);0,021;(300.356, 185.761, 169.822);(313.894, 202.296, 149.308);0,9874204;(0.766, 0.474, 0.433);(0.780, 0.503, 0.371)
R;(0.988, 1.168, -13.321);(0.982, 1.179, -13.304);0,021;(300.356, 185.761, 169.822);(313.483, 202.473, 149.063);0,9877481;(0.766, 0.474, 0.433);(0.780, 0.504, 0.371)
R;(0.988, 1.169, -13.322);(0.982, 1.179, -13.304);0,021;(300.486, 186.119, 169.771);(313.483, 202.473, 149.063);0,9878787;(0.766, 0.475, 0.433);(0.780, 0.504, 0.371)
R;(0.988, 1.169, -13.322);(0.982, 1.179, -13.304);0,021;(300.486, 186.119, 169.771);(313.129, 202.629, 148.849);0,9881449;(0.766, 0.475, 0.433);(0.780, 0.505, 0.371)
R;(0.988, 1.169, -13.323);(0.982, 1.179, -13.304);0,022;(300.576, 186.408, 169.715);(313.129, 202.629, 148.849);0,9882377;(0.766, 0.475, 0.433);(0.780, 0.505, 0.371)
R;(0.988, 1.169, -13.323);(0.982, 1.180, -13.305);0,022;(300.576, 186.408, 169.715);(312.755, 202.797, 148.619);0,988503;(0.766, 0.475, 0.433);(0.779, 0.505, 0.370)
R;(0.988, 1.169, -13.324);(0.982, 1.180, -13.305);0,023;(300.277, 186.848, 169.271);(312.755, 202.797, 148.619);0,9885047;(0.766, 0.477, 0.432);(0.779, 0.505, 0.370)
R;(0.988, 1.169, -13.324);(0.982, 1.180, -13.305);0,023;(300.277, 186.848, 169.271);(312.790, 202.782, 148.640);0,9884802;(0.766, 0.477, 0.432);(0.779, 0.505, 0.370)
R;(0.988, 1.169, -13.326);(0.982, 1.180, -13.305);0,025;(299.657, 188.060, 168.307);(312.790, 202.782, 148.640);0,9884299;(0.765, 0.480, 0.430);(0.779, 0.505, 0.370)
R;(0.988, 1.169, -13.326);(0.982, 1.181, -13.305);0,025;(299.657, 188.060, 168.307);(312.531, 202.900, 148.480);0,988627;(0.765, 0.480, 0.430);(0.779, 0.506, 0.370)
R;(0.988, 1.169, -13.327);(0.982, 1.181, -13.305);0,025;(299.523, 188.311, 168.170);(312.531, 202.900, 148.480);0,9885669;(0.765, 0.481, 0.429);(0.779, 0.506, 0.370)
R;(0.988, 1.171, -13.328);(0.982, 1.182, -13.305);0,025;(299.318, 189.357, 167.503);(312.300, 203.007, 148.335);0,9888242;(0.764, 0.483, 0.428);(0.779, 0.506, 0.370)
